listing,listing type,category,tags
Simi,Artiste,Musicians,music
Wizkid,Artiste,Musicians,music
Kaffy Dance Group,Artiste,Dancers,"choreography, dance"
Yemi Alade,Artiste,Dancers,"choreography, dance"
A.V.O Boys,Artiste,Dancers,choreography
Helen O. Grady,Artiste,Drama groups,drama
Crown Troupe of Africa,Artiste,Drama groups,skit
Bovi,Artiste,Comedians,sketch
Helen Paul,Artiste,Comedians,standup
Kansiime,Artiste,Comedians,movie
Infinity,Artiste,MC,comedy
MC Mark,Artiste,MC,comedy
DJ Cuppy,Artiste,DJ,
DJ Lambo,Artiste,DJ,
MC eepamie,Artiste,Clown,
Voice Nigeria,Events,Auditions,music
Elite Model,Events,Auditions,"beauty, fashion"
AY Show,Events,Shows,comedy
Lasgidi Allstars,Events,Concerts,music
Asa Lagos Encore,Events,Concerts,music
GTB Food Fest,Events,Exhibitions,"food, drinks"
Xmas Tour to Ghana,Events,Tours,holiday
Stella Tours &  Honeymoon,Services,Tours,wedding
Eloquent Photography,Services,Cinematographer,"picture, photography"
Owlperture,Services,Cinematographer,"videos, pictures, photography, camera"
Glasshouse,Services,Venues,"hall, stage, lighting, speakers, speakers, microphone, generator, ac"
Federal Palace,Services,Venues,"hall, conference room"
Chefero,Services,Caterers,"food, drinks, cake, chapman, asun, barbeque, popcorn"
Divine Caterers,Services,Caterers,"food, drinks, cocktail, fruitee, , smallchops, shawarma"
Owambe Bouncers,Services,Bouncers,security
Magifrentals,Services,Accessory Renters,"chairs, tables, plates, cutleries, ice block, gas, adogan, fans"
Club Quinox,Places,Clubs,night life
Obudu Cattle Ranch,Places,Natural Resorts,"mountain, sky, waterfront"
Fluidra's Swimming pool,Places,Recreational centers,"pool, game"
Yankari Game resorts,Places,Recreational centers,museum
Rhapsody,Places,Restaurants,"food, drinks"
The Place,Places,Restaurants,"food, drinks"
Le mango,Places,Restaurants,"food, drinks"
Silverbird Galleria,Places,Recreational centers,"cinema, movie"
